epoch=81 env_step=162000 gradient_step=10125 train_rew=-0.279959 train_len=22 n_ep=0 n_st=16 loss=0.001386 loss_clip=-0.002046 loss_ent=0.837740 loss_vf=0.008540 test_reward=-0.264182 test_reward_std=0.152484 best_reward=-0.188776 best_reward_std=0.111698 best_epoch=69
epoch=82 env_step=164000 gradient_step=10250 train_rew=-0.040038 train_len=32 n_ep=0 n_st=16 loss=0.001932 loss_clip=-0.001815 loss_ent=0.850060 loss_vf=0.009193 test_reward=-0.137155 test_reward_std=0.132485 best_reward=-0.137155 best_reward_std=0.132485 best_epoch=82
epoch=83 env_step=166000 gradient_step=10375 train_rew=0.058069 train_len=20 n_ep=0 n_st=16 loss=0.000200 loss_clip=-0.001320 loss_ent=0.779945 loss_vf=0.004601 test_reward=-0.301813 test_reward_std=0.125185 best_reward=-0.137155 best_reward_std=0.132485 best_epoch=82
epoch=84 env_step=168000 gradient_step=10500 train_rew=-0.154013 train_len=20 n_ep=2 n_st=16 loss=-0.000899 loss_clip=-0.002379 loss_ent=0.823676 loss_vf=0.004609 test_reward=-0.289835 test_reward_std=0.200714 best_reward=-0.137155 best_reward_std=0.132485 best_epoch=82
epoch=85 env_step=170000 gradient_step=10625 train_rew=-0.542898 train_len=26 n_ep=2 n_st=16 loss=0.004501 loss_clip=0.001252 loss_ent=0.811300 loss_vf=0.008121 test_reward=-0.282199 test_reward_std=0.171511 best_reward=-0.137155 best_reward_std=0.132485 best_epoch=82
epoch=86 env_step=172000 gradient_step=10750 train_rew=-0.253579 train_len=8 n_ep=0 n_st=16 loss=0.001294 loss_clip=-0.002112 loss_ent=0.769021 loss_vf=0.008350 test_reward=-0.306328 test_reward_std=0.246620 best_reward=-0.137155 best_reward_std=0.132485 best_epoch=82
epoch=87 env_step=174000 gradient_step=10875 train_rew=-0.551141 train_len=26 n_ep=1 n_st=16 loss=0.002015 loss_clip=0.000391 loss_ent=0.719605 loss_vf=0.004688 test_reward=-0.332748 test_reward_std=0.209934 best_reward=-0.137155 best_reward_std=0.132485 best_epoch=82
epoch=88 env_step=176000 gradient_step=11000 train_rew=-0.735061 train_len=30 n_ep=0 n_st=16 loss=0.003441 loss_clip=0.002324 loss_ent=0.738630 loss_vf=0.003713 test_reward=-0.161602 test_reward_std=0.155989 best_reward=-0.137155 best_reward_std=0.132485 best_epoch=82
epoch=89 env_step=178000 gradient_step=11125 train_rew=-0.168125 train_len=20 n_ep=1 n_st=16 loss=-0.000278 loss_clip=-0.001339 loss_ent=0.715772 loss_vf=0.003553 test_reward=-0.280525 test_reward_std=0.066719 best_reward=-0.137155 best_reward_std=0.132485 best_epoch=82
epoch=90 env_step=180000 gradient_step=11250 train_rew=0.033217 train_len=21 n_ep=0 n_st=16 loss=0.002029 loss_clip=0.000942 loss_ent=0.723298 loss_vf=0.003622 test_reward=-0.241645 test_reward_std=0.154887 best_reward=-0.137155 best_reward_std=0.132485 best_epoch=82
epoch=91 env_step=182000 gradient_step=11375 train_rew=-0.444822 train_len=23 n_ep=0 n_st=16 loss=0.001434 loss_clip=0.000272 loss_ent=0.745984 loss_vf=0.003815 test_reward=-0.233075 test_reward_std=0.164828 best_reward=-0.137155 best_reward_std=0.132485 best_epoch=82
epoch=92 env_step=184000 gradient_step=11500 train_rew=-0.224912 train_len=26 n_ep=1 n_st=16 loss=0.001170 loss_clip=0.000344 loss_ent=0.723916 loss_vf=0.003101 test_reward=-0.115393 test_reward_std=0.175981 best_reward=-0.115393 best_reward_std=0.175981 best_epoch=92
epoch=93 env_step=186000 gradient_step=11625 train_rew=-0.427060 train_len=24 n_ep=1 n_st=16 loss=0.001241 loss_clip=0.000638 loss_ent=0.733224 loss_vf=0.002673 test_reward=-0.175642 test_reward_std=0.170555 best_reward=-0.115393 best_reward_std=0.175981 best_epoch=92
epoch=94 env_step=188000 gradient_step=11750 train_rew=-0.010871 train_len=19 n_ep=0 n_st=16 loss=0.000894 loss_clip=0.000393 loss_ent=0.730630 loss_vf=0.002462 test_reward=-0.186980 test_reward_std=0.227043 best_reward=-0.115393 best_reward_std=0.175981 best_epoch=92
