epoch=83 env_step=166000 gradient_step=10375 train_rew=0.656000 train_len=23 n_ep=0 n_st=16 loss=0.000189 loss_clip=-0.000825 loss_ent=0.736858 loss_vf=0.003501 test_reward=0.626500 test_reward_std=0.071884 best_reward=0.693000 best_reward_std=0.041929 best_epoch=46
epoch=84 env_step=168000 gradient_step=10500 train_rew=0.562500 train_len=21 n_ep=0 n_st=16 loss=-0.000511 loss_clip=-0.001677 loss_ent=0.758972 loss_vf=0.003849 test_reward=0.604600 test_reward_std=0.077089 best_reward=0.693000 best_reward_std=0.041929 best_epoch=46
epoch=85 env_step=170000 gradient_step=10625 train_rew=0.656000 train_len=30 n_ep=0 n_st=16 loss=0.000247 loss_clip=-0.000749 loss_ent=0.761044 loss_vf=0.003513 test_reward=0.645600 test_reward_std=0.067587 best_reward=0.693000 best_reward_std=0.041929 best_epoch=46
epoch=86 env_step=172000 gradient_step=10750 train_rew=0.686000 train_len=22 n_ep=0 n_st=16 loss=-0.000272 loss_clip=-0.000721 loss_ent=0.729080 loss_vf=0.002356 test_reward=0.674800 test_reward_std=0.112173 best_reward=0.693000 best_reward_std=0.041929 best_epoch=46
epoch=87 env_step=174000 gradient_step=10875 train_rew=0.576000 train_len=23 n_ep=1 n_st=16 loss=0.001075 loss_clip=0.000535 loss_ent=0.745193 loss_vf=0.002571 test_reward=0.657300 test_reward_std=0.070880 best_reward=0.693000 best_reward_std=0.041929 best_epoch=46
epoch=88 env_step=176000 gradient_step=11000 train_rew=0.651000 train_len=29 n_ep=0 n_st=16 loss=0.000018 loss_clip=-0.000332 loss_ent=0.704205 loss_vf=0.002109 test_reward=0.646400 test_reward_std=0.107211 best_reward=0.693000 best_reward_std=0.041929 best_epoch=46
epoch=89 env_step=178000 gradient_step=11125 train_rew=0.612000 train_len=19 n_ep=0 n_st=16 loss=0.000118 loss_clip=-0.000603 loss_ent=0.716878 loss_vf=0.002877 test_reward=0.649100 test_reward_std=0.056806 best_reward=0.693000 best_reward_std=0.041929 best_epoch=46
epoch=90 env_step=180000 gradient_step=11250 train_rew=0.688000 train_len=28 n_ep=2 n_st=16 loss=-0.000673 loss_clip=-0.000818 loss_ent=0.710527 loss_vf=0.001710 test_reward=0.665000 test_reward_std=0.076865 best_reward=0.693000 best_reward_std=0.041929 best_epoch=46
epoch=91 env_step=182000 gradient_step=11375 train_rew=0.460000 train_len=18 n_ep=1 n_st=16 loss=0.000956 loss_clip=0.000562 loss_ent=0.680674 loss_vf=0.002149 test_reward=0.651000 test_reward_std=0.064518 best_reward=0.693000 best_reward_std=0.041929 best_epoch=46
epoch=92 env_step=184000 gradient_step=11500 train_rew=0.747000 train_len=29 n_ep=0 n_st=16 loss=-0.001224 loss_clip=-0.002046 loss_ent=0.686557 loss_vf=0.003019 test_reward=0.662100 test_reward_std=0.068508 best_reward=0.693000 best_reward_std=0.041929 best_epoch=46
epoch=93 env_step=186000 gradient_step=11625 train_rew=0.719000 train_len=28 n_ep=0 n_st=16 loss=-0.000415 loss_clip=-0.000705 loss_ent=0.672950 loss_vf=0.001925 test_reward=0.627800 test_reward_std=0.110455 best_reward=0.693000 best_reward_std=0.041929 best_epoch=46
epoch=94 env_step=188000 gradient_step=11750 train_rew=0.612000 train_len=26 n_ep=1 n_st=16 loss=0.000256 loss_clip=-0.000172 loss_ent=0.658821 loss_vf=0.002174 test_reward=0.659700 test_reward_std=0.074068 best_reward=0.693000 best_reward_std=0.041929 best_epoch=46
epoch=95 env_step=190000 gradient_step=11875 train_rew=0.708000 train_len=25 n_ep=1 n_st=16 loss=-0.000417 loss_clip=-0.000778 loss_ent=0.671362 loss_vf=0.002064 test_reward=0.675700 test_reward_std=0.075044 best_reward=0.693000 best_reward_std=0.041929 best_epoch=46
epoch=96 env_step=192000 gradient_step=12000 train_rew=0.551000 train_len=25 n_ep=0 n_st=16 loss=-0.000357 loss_clip=-0.000704 loss_ent=0.654051 loss_vf=0.002001 test_reward=0.678400 test_reward_std=0.125633 best_reward=0.693000 best_reward_std=0.041929 best_epoch=46
